antecedent,consequent,confidence,lift,support
"['7896637023047', '7896112452690', '7896658027604', '7896637032209', '7891721019890', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7898940257393', '0000023384248']",['7891058002657'],1.0,28.0,0.03571428571428571
"['7898940257393', '0000023384248']",['7896422507950'],1.0,28.0,0.03571428571428571
"['7898940257393', '0000023384248']",['7896004706474'],1.0,28.0,0.03571428571428571
"['7896422507950', '7896004706474']",['7891058002657'],1.0,28.0,0.03571428571428571
"['7896422507950', '7896004706474']",['7898940257393'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896004709307', '7891721019890']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896004709307', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896637032209', '7891721019890', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896637032209', '7891721019890', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896637032209', '7891721019890', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896637032209', '7891721019890', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896637032209']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896637032209']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896637032209']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '7891721019890']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '7891721019890']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896637032209', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896637032209', '7891721019890']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896637032209', '7891721019890']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896004709307', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896004709307', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896226109305', '7896004709307', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
['7896714219318'],['7896714207551'],1.0,28.0,0.03571428571428571
['7896714219318'],['7896331704808'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896226109305', '7896004709307', '7896637032209', '7891721019890']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896226109305', '7896004709307', '7896637032209', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896637032209', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896637032209', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '7896637032209', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896637032209', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896637032209', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896637032209', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896015511159', '0000023384248']",['7896007549559'],1.0,28.0,0.03571428571428571
"['7896004709307', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896004709307', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896004709307', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896004709307', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896004709307', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896004709307', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896004709307', '7896637032209', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896331704808', '7896714207551']",['7896714219318'],1.0,28.0,0.03571428571428571
"['7896663325115', '7896523216461']",['7896138700614'],1.0,28.0,0.03571428571428571
['7896422507950'],['7891058002657'],1.0,28.0,0.03571428571428571
['7896422507950'],['7896004706474'],1.0,28.0,0.03571428571428571
['7896422507950'],['7898940257393'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '7891721019890']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '7896004709307', '7891721019890']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896004709307', '7891721019890']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896422519830', '0000023384248']",['7896085111129'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7898940257393', '7891058002657', '7896422507950', '0000023384248']",['7896004706474'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896658027604', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896226109305', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896226109305', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896226109305', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896112452690', '7896226109305', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896226109305', '7896004709307', '7896637032209', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '0000023384248']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896226109305', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
['7896004713342'],['7891317015060'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896637032209', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896637032209', '7891721019890']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896637032209', '7891721019890']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896637032209', '7891721019890']",['7896226109305'],1.0,28.0,0.03571428571428571
