"sale_code","barcode"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590330","7896007549634"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896902215788"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896902215788"
"590335","7896902215788"
"590335","7896007551088"
"590335","7896902215788"
"590335","7896007551088"
"590335","7896902215788"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896007551088"
"590335","7896902215788"
"590335","7896007551088"
"590335","7896902215788"
"590335","7896007551088"
"590357","7898039564968"
"590357","7891010036478"
"590357","7898039564968"
"590357","7898039564968"
"590357","7891317002503"
"590357","7891010781668"
"590357","7898039563732"
"590357","7909690729426"
"590357","7891024174180"
"590357","7891024174180"
"590357","7898039563732"
"590357","7909690729426"
"590357","7891024174180"
"590357","7891010036478"
"590357","7891024174180"
"590357","7896422504454"
"590357","7898039563732"
"590357","7898039564968"
"590357","7898039563732"
"590357","7898039563732"
"590357","7898039564968"
"590357","7891317002503"
"590357","7898039564968"
"590357","7896422504454"
"590357","7891010781668"
"590357","7898039563732"
"590357","7909690729426"
"590357","7898039564968"
"590359","7898039563732"
"590359","7891317002503"
"590359","7909690729426"
"590359","7898039563732"
"590359","7896422504454"
"590359","7898039563732"
"590359","7896422504454"
"590359","7898039564968"
"590359","7909690729426"
"590359","7909690729426"
"590359","7898039564968"
"590359","7898039564968"
"590359","7891024174180"
"590359","7898039564968"
"590359","7898039563732"
"590359","7891010036478"
"590359","7891024174180"
"590359","7891010781668"
"590359","7891010036478"
"590359","7891010781668"
"590359","7898039563732"
"590359","7891317002503"
"590359","7898039564968"
"590359","7898039563732"
"590359","7898039564968"
"590359","7898039564968"
"590359","7891024174180"
"590359","7891024174180"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590487","7896061995903"
"590587","7891058022815"
"590587","7891058022815"
"590587","7891010579265"
"590587","7896094903104"
"590587","7896094903104"
"590587","7896015511166"
"590587","7891010579265"
"590587","7896094922334"
"590587","7896094903104"
"590587","7891010579265"
"590588","7891010253691"
"590588","7893736012798"
"590588","7891010253691"
"590588","7893736012798"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891150021709"
"590588","7891010253691"
"590588","7891010253691"
"590588","7893736012798"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891150021709"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891150021709"
"590588","7896094905825"
"590588","7893736012798"
"590588","7893736012798"
"590588","7893736012798"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891010253691"
"590588","7896094905825"
"590588","7893736012798"
"590588","7891010253691"
"590588","7891010253691"
"590588","7891150021709"
"590588","7891150021709"
"590588","7893736012798"
"590588","7891010253691"
"590588","7891010253691"
"590588","7893736012798"
"590588","7891010253691"
"590588","7891010253691"
"590588","7893736012798"
"590588","7893736012798"
"590604","7896007548392"
"590604","7896007548392"
"590604","7891024008799"
"590604","7896018703636"
"590604","7896018703636"
"590604","7891024008799"
"590604","7896018703636"
"590604","7895800304235"
"590604","7891024008799"
"590604","7896007548392"
"590604","7896007548392"
"590604","7895800304235"
"590604","7896007548392"
"590604","7891024008799"
"590604","7891024008799"
"590604","7896007548392"
"590604","7500435127370"
"590604","7896007548392"
"590604","7891024008799"
"590604","7896007548392"
"590604","7891024008799"
"590604","7500435127370"
"590604","7891024008799"
"590604","7896007548392"
"590604","7896007548392"
"590604","7891024008799"
"590604","7891024008799"
"590604","7500435127370"
"590604","7896007548392"
"590604","7891024008799"
"590604","7891024008799"
"590604","7896018703636"
"590604","7500435127370"
"590604","7895800304235"
"590604","7896018703636"
"590604","7891024008799"
"590604","7891024008799"
"590604","7891024008799"
"590604","7891024008799"
"590604","7896007548392"
"590604","7891024008799"
"590604","7896018703636"
"590604","7896018703636"
"590604","7500435127370"
"590604","7896007548392"
"590604","7896018703636"
"590604","7896018703636"
"590863","7891010589639"
"590863","310119052440"
"590863","7891010589639"
"590863","3504105035617"
"590863","3504105035617"
"590863","7891010589639"
"590863","7891010589639"
"590863","7891010589639"
"590863","310119052440"
"590863","7891010589639"
"590863","7891010589639"
"590863","3504105035617"
"590866","310119052440"
"590866","3504105035617"
"590866","310119052440"
"590866","7891010589639"
"590866","7891010589639"
"590866","7891010589639"
"590866","7891010589639"
"590866","7891010589639"
"590866","3504105035617"
"590866","3504105035617"
"590866","7891010589639"
"590866","7891010589639"
"590867","7896033292979"
"590867","7896033292979"
"590867","7898994914600"
"590867","7896033292979"
"590871","7891010589639"
"590871","3504105035617"
"590871","3504105035617"
"590871","7891010589639"
"590871","310119052440"
"590871","7891010589639"
"590871","7891010589639"
"590871","3504105035617"
"590871","7891010589639"
"590871","7891010589639"
"590871","7891010589639"
"590871","310119052440"
"591083","7896026306188"
"591083","7891317124038"
"591083","7891010032241"
"591083","7891721025334"
"591083","7891010032241"
"591083","7896281152018"
"591083","7896281152018"
"591083","7891317124038"
"591083","7891317124038"
"591083","7891721025334"
"591083","7891317124038"
"591083","7891317120863"
"591083","7891721025334"
"591083","7891317124038"
"591083","7896281152018"
"591083","7891317124038"
"591083","7891721025334"
"591083","7891317124038"
"591083","7891317124038"
"591083","7891317124038"
"591083","7891721025334"
"591083","7896026306188"
"591083","7891317120863"
"591083","7896281152018"
"591083","7896026306188"
"591083","7891317120863"
"591083","7891317124038"
"591083","7891010032241"
"591083","7891317124038"
"591083","7891317124038"
"591465","7891010027858"
"591465","7898958060848"
"591465","7898958060848"
"591465","7896512905420"
"591465","4005900498205"
"591465","7891010032906"
"591465","7891010027858"
"591465","4005900498205"
"591465","7898958060862"
"591465","7898958060862"
"591465","7891010027858"
"591465","7898958060848"
"591465","7898958060862"
"591465","7898958060848"
"591465","7896150008842"
"591465","7891010032906"
"591465","7896150008842"
"591465","7898958060848"
"591465","7891010027858"
"591465","7891010027858"
"591465","7896512905420"
"591465","7896150008842"
"591465","4005900498205"
"591465","7891010027858"
"591465","7898958060862"
"591465","7891010027858"
"591465","4005900498205"
"591465","7791969016036"
"591465","7898958060862"
"591465","7891010027858"
"591465","7898958060848"
"591465","7891010027858"
"591465","7891010027858"
"591465","7896150008842"
"591465","7898958060848"
"591465","7891010027858"
"591465","7896902210646"
"591465","7891010027858"
"591465","7891010027858"
"591465","7500435180290"
"591465","4005900498205"
"591465","7898958060862"
"591465","7898958060848"
"591465","7891010027858"
"591465","7891010027858"
"591465","7891010027858"
"591465","7500435180290"
"591465","7896150008842"
"591465","7898958060848"
"591465","7898958060848"
"591465","7898958060848"
"591465","7891010027858"
"591465","7891010027858"
"591465","7891024135310"
"591465","7791969016036"
"591465","7896512905420"
"591465","4005900498205"
"591465","7891024135310"
"591465","7891010027858"
"591465","7891024135310"
"591465","7896902210646"
"591465","4005900498205"
"591748","7896004720937"
"591748","7891058017507"
"591748","7891010875640"
"591748","7896523206288"
"591748","7891010875640"
"591748","7891058017507"
"591748","7891010875640"
"591748","7891142177032"
"591748","7891142177056"
"591748","7896004720937"
"591748","7891010875640"
"591748","7891010875640"
"591748","7891142177032"
"591748","7891010875640"
"591748","7891010875640"
"591748","1234564A"
"591748","7891142177056"
"591748","7896004720937"
"591748","7896523206288"
"591748","7891010875640"
"591748","7896004720937"
"591875","7898430192913"
"591875","7891010871031"
"591875","7898430192913"
"591875","7896007545100"
"591875","7891010871031"
"591875","7896007545100"
"591875","7898430192913"
"591875","7898430192913"
"591875","7896007545100"
"591875","7896007545100"
"591875","7898430192913"
"591875","7896663301317"
"591875","7898430192913"
"591875","7891010871031"
"591875","7891010871031"
"591875","7896663301317"
"591875","7896663301317"
"591875","7896663301317"
"591875","7891010871031"
"591875","7891010871031"
"591875","7898430192913"
"591875","7898430192913"
"591875","7898430192913"
"591875","7896663301317"
"591875","7896663301317"
"591875","7898430192913"
"591875","7891010871031"
"591875","7896007545100"
"591875","7891010871031"
"591875","7898430192913"
"591875","7898430192913"
"591875","7896663301317"
"591875","7896663301317"
"591875","7896663301317"
"591900","1111111111111A"
"591900","7896512904621"
"591900","7896512904621"
"591900","7897411601505"
"591900","7896512904621"
"591925","7896061995910"
"591925","7896061995910"
"591925","7896061995910"
"591925","7896061995910"
"591925","7896061995910"
"591925","7896061995910"
"591925","7896061995910"
"591925","7896061995910"
